x;y;z
0;-1.04165;0.8
-0.57871;0.8661;0.8
0.398621;0.962359;0.8
0.203216;-1.021635;0.8
-0.736558;0.736557;0.8
0.203214;1.021635;0.8
0.398623;-0.962359;0.8
-0.8661;0.578709;0.8
0.57871;-0.8661;0.8
-0.962359;0.398622;0.8
0.736558;-0.736557;0.8
-1.021635;0.203216;0.8
0.866101;-0.578709;0.8
-1.04165;0;0.8
0.962359;-0.398621;0.8
-1.021635;-0.203216;0.8
0.578708;0.866101;0.9
0.398621;0.962359;0.9
0.398621;0.962359;1
0.578708;0.866101;1
-0.398622;-0.962359;0.9
-0.578709;-0.8661;0.9
-0.203216;1.021635;0.9
0;1.04165;0.9
0.736557;0.736558;0.9
-0.203216;-1.021635;0.9
-0.398622;0.962359;0.9
0;-1.04165;0.9
-0.57871;0.8661;0.9
0.203216;-1.021635;0.9
-0.736558;0.736557;0.9
0.203214;1.021635;0.9
0.398623;-0.962359;0.9
-0.8661;0.578709;0.9
0.57871;-0.8661;0.9
-0.962359;0.398622;0.9
0.736558;-0.736557;0.9
-1.021635;0.203216;0.9
0.866101;-0.578709;0.9
-1.04165;0;0.9
0.962359;-0.398621;0.9
-1.021635;-0.203216;0.9
1.021635;-0.203215;0.9
-0.962359;-0.398622;0.9
1.04165;0.000001;0.9
-0.8661;-0.57871;0.9
1.021635;0.203217;0.9
-0.736558;-0.736558;0.9
0.57871;-0.8661;1
0.736558;-0.736557;1
0.724914;-0.724913;1.1
0.569562;-0.852408;1.1
0.203216;-1.021635;1
0;-1.04165;1
-0.736558;0.736557;1
-0.57871;0.8661;1
0.203214;1.021635;1
0.398623;-0.962359;1
-0.8661;0.578709;1
0;1.04165;1
-0.962359;0.398622;1
-1.021635;0.203216;1
0.866101;-0.578709;1
-1.04165;0;1
0.962359;-0.398621;1
-1.021635;-0.203216;1
1.021635;-0.203215;1
-0.962359;-0.398622;1
1.04165;0.000001;1
-0.8661;-0.57871;1
1.021635;0.203217;1
-0.736558;-0.736558;1
0.962358;0.398623;1
-0.578709;-0.8661;1
0.866099;0.578711;1
-0.398622;-0.962359;1
-0.203216;1.021635;1
0.736557;0.736558;1
-0.203216;-1.021635;1
-0.398622;0.962359;1
0.947146;-0.39232;1.1
1.005484;-0.200002;1.1
0.904936;-0.180002;1.2
0.852431;-0.353088;1.2
-1.005484;0.200003;1.1
-0.947145;0.39232;1.1
0.852409;-0.56956;1.1
-1.025182;0;1.1
-1.005484;-0.200003;1.1
-0.947145;-0.39232;1.1
1.025183;0.000001;1.1
-0.852408;-0.569561;1.1
1.005484;0.200004;1.1
-0.724914;-0.724914;1.1
0.947145;0.392321;1.1
-0.569561;-0.852408;1.1
0.852408;0.569562;1.1
-0.39232;-0.947145;1.1
-0.200003;1.005484;1.1
0;1.025182;1.1
0.724913;0.724914;1.1
-0.200003;-1.005484;1.1
-0.39232;0.947145;1.1
0.56956;0.852409;1.1
0;-1.025183;1.1
-0.569561;0.852408;1.1
0.392319;0.947146;1.1
0.200004;-1.005484;1.1
-0.724914;0.724913;1.1
0.200002;1.005484;1.1
0.392321;-0.947145;1.1
-0.852408;0.569561;1.1
0.904935;0.180004;1.2
0.85243;0.353089;1.2
0.767187;0.31778;1.3
0.814442;0.162003;1.3
-0.852431;-0.353088;1.2
-0.904935;-0.180003;1.2
0.922664;0.000001;1.2
-0.767167;-0.512605;1.2
-0.652422;-0.652422;1.2
-0.512605;-0.767167;1.2
0.767167;0.512606;1.2
-0.353088;-0.852431;1.2
-0.180003;0.904935;1.2
0;0.922664;1.2
0.652421;0.652423;1.2
-0.180003;-0.904936;1.2
-0.353088;0.852431;1.2
0.512604;0.767168;1.2
0;-0.922664;1.2
-0.512605;0.767167;1.2
0.353087;0.852431;1.2
0.180003;-0.904936;1.2
-0.652422;0.652422;1.2
0.180002;0.904936;1.2
0.353089;-0.852431;1.2
-0.767167;0.512605;1.2
0.512605;-0.767167;1.2
-0.852431;0.353088;1.2
0.652423;-0.652422;1.2
-0.904935;0.180003;1.2
0.767168;-0.512604;1.2
-0.922664;0;1.2
-0.162003;0.814442;1.3
-0.317779;0.767187;1.3
-0.286002;0.690469;1.4
-0.145802;0.732998;1.4
-0.461344;-0.690451;1.3
-0.58718;-0.58718;1.3
0.69045;0.461345;1.3
-0.317779;-0.767188;1.3
0;0.830398;1.3
0.587179;0.587181;1.3
-0.162002;-0.814442;1.3
0.461343;0.690451;1.3
0;-0.830398;1.3
-0.461344;0.690451;1.3
0.317778;0.767188;1.3
0.162003;-0.814442;1.3
-0.58718;0.58718;1.3
0.162001;0.814442;1.3
0.31778;-0.767187;1.3
-0.690451;0.461344;1.3
0.461345;-0.69045;1.3
-0.767188;0.317779;1.3
0.58718;-0.58718;1.3
-0.814442;0.162003;1.3
0.690451;-0.461344;1.3
-0.830398;0;1.3
0.767188;-0.317779;1.3
-0.814442;-0.162003;1.3
0.814442;-0.162002;1.3
-0.767188;-0.317779;1.3
0.830398;0.000001;1.3
-0.690451;-0.461344;1.3
-0.528462;0.528462;1.4
-0.621406;0.41521;1.4
-0.559265;0.373689;1.5
-0.475616;0.475616;1.5
0.415209;0.621406;1.4
0.528461;0.528463;1.4
0;-0.747358;1.4
-0.145802;-0.732998;1.4
-0.41521;0.621405;1.4
0.286001;0.690469;1.4
0.145803;-0.732998;1.4
0.145801;0.732998;1.4
0.286002;-0.690469;1.4
0;0.747358;1.4
0.41521;-0.621405;1.4
-0.690469;0.286002;1.4
0.528462;-0.528462;1.4
-0.732998;0.145802;1.4
0.621406;-0.415209;1.4
-0.747358;0;1.4
0.690469;-0.286001;1.4
-0.732998;-0.145802;1.4
0.732998;-0.145802;1.4
-0.690469;-0.286001;1.4
0.747358;0.000001;1.4
-0.621406;-0.41521;1.4
0.732998;0.145803;1.4
-0.528462;-0.528462;1.4
0.690468;0.286002;1.4
-0.41521;-0.621405;1.4
0.621405;0.415211;1.4
-0.286001;-0.690469;1.4
-0.659698;0.131222;1.5
-0.672622;0;1.5
-0.739884;0;1.6
-0.725668;0.144344;1.6
0;0.672622;1.5
0.131221;0.659698;1.5
0.373689;-0.559265;1.5
0.257402;-0.621422;1.5
-0.621422;0.257401;1.5
0.475616;-0.475615;1.5
0.559265;-0.373688;1.5
0.621422;-0.257401;1.5
-0.659698;-0.131222;1.5
0.659698;-0.131222;1.5
-0.621422;-0.257401;1.5
0.672622;0.000001;1.5
-0.559265;-0.373689;1.5
0.659698;0.131223;1.5
-0.475616;-0.475616;1.5
0.621422;0.257402;1.5
-0.373689;-0.559265;1.5
0.559264;0.37369;1.5
-0.257401;-0.621422;1.5
-0.131222;0.659698;1.5
0.475615;0.475616;1.5
-0.131222;-0.659698;1.5
-0.257401;0.621422;1.5
0.373688;0.559265;1.5
0;-0.672622;1.5
-0.373689;0.559265;1.5
0.257401;0.621422;1.5
0.131222;-0.659698;1.5
